food_Code,food_Nm,nation_Std_Food_Grupp_Code_Nm,food_Wgh,allrgy_Info,food_Image_Address
F00093,"즉석밥, 누룽지, 끓는물 부음",곡류 및 그 제품,440.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,210.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F03123,"찹쌀, 백미, 보람찰, 밥",곡류 및 그 제품,210.00,null,
F00081,"멥쌀, 현미, 밥",곡류 및 그 제품,210.00,null,
F00081,"멥쌀, 현미, 밥",곡류 및 그 제품,160.00,null,
F00014,메밀묵,곡류 및 그 제품,100.00,메밀,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,70.00,null,
F03154,"멥쌀, 현미, 흑미, 생것",곡류 및 그 제품,20.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,90.00,null,
F00025,"멥쌀, 현미, 발아현미, 생것",곡류 및 그 제품,10.00,null,
F00017,"멥쌀, 백미, 생것",곡류 및 그 제품,90.00,null,
F00025,"멥쌀, 현미, 발아현미, 생것",곡류 및 그 제품,3.00,null,
F03154,"멥쌀, 현미, 흑미, 생것",곡류 및 그 제품,2.00,null,
F00467,"대두, 검은색, 흑태, 삶은것",두류,20.00,대두(콩),
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,180.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00004,"기장, 도정, 생것",곡류 및 그 제품,5.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,200.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
F00427,"녹두, 삶은것",두류,10.00,null,
F00079,"멥쌀, 백미, 밥",곡류 및 그 제품,190.00,null,https://www.nongsaro.go.kr/cms_contents/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_103.jpg
