food_Code,large_Name,middle_Name,food_Name,food_Volume
D230001,떡류,떡류,가래떡,150.00
D230060,떡류,떡류,가래떡(흑미),100.00
D062010,찌개류,육류찌개,가래떡김치말이짜글이,286.00
D072021,찜류,육류찜,가래떡소고기찜,316.30
D288013,원재료,어패류 및 수산물가공품,가리비(통조림),100.00
D081001,구이류,어패류구이,가오리구이,87.00
D071001,찜류,어패류찜,가오리찜,146.00
D081002,구이류,어패류구이,가자미구이,76.00
D061001,찌개류,어패류찌개,가자미매운탕(고추장),133.00
D051229,국(탕)류,맑은국류,가자미미역국,52.01
D111052,조림류,어패류조림,가자미조림,85.60
D111001,조림류,어패류조림,가자미조림,143.00
D071002,찜류,어패류찜,가자미찜,146.00
D121001,튀김류,어패류튀김,가자미튀김,85.00
D123007,튀김류,채소류튀김,가죽부각(가죽자반튀김),1387.00
D140090,김치류,김치류,가지겉절이,452.00
D132044,무침류,숙채,가지나물,434.00
D054001,국(탕)류,냉국류,가지냉국(고춧가루),87.00
D062024,찌개류,육류찌개,가지돼지고기된장찌개,135.50
D083028,구이류,기타 구이류,가지라따뚜이,891.00
D135056,무침류,생채(샐러드),가지말이샐러드,526.00
D013028,밥류,채소밥류,가지밥,95.00
D103001,볶음류,채소 및 해조류볶음,가지볶음,86.00
D103068,볶음류,채소 및 해조류볶음,가지볶음(양파),90.10
D103002,볶음류,채소 및 해조류볶음,가지볶음(양파),106.00
D014126,밥류,비빔밥 및 볶음밥류,가지볶음밥,556.30
D073015,찜류,채소류찜,가지선 ,140.00
D083018,구이류,기타 구이류,가지스테이크,109.50
D051167,국(탕)류,맑은국류,가지양팟국,15.90
D081063,구이류,어패류구이,가지연어구이,331.00
D170027,절임류,장아찌,가지장아찌,1700.00
D093001,전류,채소류전,가지전,97.00
D113001,조림류,채소류조림,가지조림,106.00
D113021,조림류,채소류조림,가지조림,56.10
D113020,조림류,채소류조림,가지조림,60.10
D073001,찜류,채소류찜,가지찜,113.00
D123001,튀김류,채소류튀김,가지튀김,113.00
D013031,밥류,채소밥류,가지표고밥,152.20
D180001,장류,양념류,간장(양조),4.00
D180002,장류,양념류,간장(재래),4.00
D014074,밥류,비빔밥 및 볶음밥류,간장게살볶음밥,126.10
D031082,면 및 만두류,면류,간장곤약볶음국수,402.00
D014046,밥류,비빔밥 및 볶음밥류,간장달걀밥,190.00
D180340,장류,양념류,간장양념장,11.20
D180018,장류,양념류,간장양념장,14.50
D031070,면 및 만두류,면류,간편콩국수,513.00
D081067,구이류,어패류구이,갈릭칩동태구이,180.00
D072010,찜류,육류찜,갈비찜,707.00
D053001,국(탕)류,곰국 및 탕류,갈비탕,136.00
D081003,구이류,어패류구이,갈치구이,87.00
D160001,젓갈류,젓갈류,갈치젓,15.00
D111002,조림류,어패류조림,갈치조림,141.00
D061002,찌개류,어패류찌개,갈치찌개(고추장),151.00
